id,pert,gene,label
Psmd4_Anxa2,Psmd4,Anxa2,down
Cul2_Upp1,Cul2,Upp1,none
Rngtt_Saa3,Rngtt,Saa3,down
Dusp1_Chst11,Dusp1,Chst11,up
Sbno2_Gsr,Sbno2,Gsr,none
Chmp6_Trmt10c,Chmp6,Trmt10c,none
Exoc5_Syngr1,Exoc5,Syngr1,none
Junb_Carhsp1,Junb,Carhsp1,down
Slc7a6os_Plaur,Slc7a6os,Plaur,up
Rps5_Cks1b,Rps5,Cks1b,none
Med29_Cd9,Med29,Cd9,none
Gspt1_Atf6,Gspt1,Atf6,up
Chmp3_Cmpk2,Chmp3,Cmpk2,up
Ap3b1_Med29,Ap3b1,Med29,none
Ash2l_Hesx1,Ash2l,Hesx1,none
Rack1_Zfp101,Rack1,Zfp101,none
Wdr1_Vcl,Wdr1,Vcl,up
Nfyc_Ifi47,Nfyc,Ifi47,none
Traf6_St3gal5,Traf6,St3gal5,none
Pik3c3_Gpnmb,Pik3c3,Gpnmb,up
Yrdc_Ckb,Yrdc,Ckb,down
Yrdc_Slc25a13,Yrdc,Slc25a13,none
Snrnp70_Anxa1,Snrnp70,Anxa1,none
Myc_Fcgr2b,Myc,Fcgr2b,none
Arpc3_Gsto1,Arpc3,Gsto1,none
Chmp3_Hilpda,Chmp3,Hilpda,up
Xpo1_Btg1,Xpo1,Btg1,up
Ikzf1_Dnajb9,Ikzf1,Dnajb9,none
Tyk2_Rnf213,Tyk2,Rnf213,down
Pten_Prkcb,Pten,Prkcb,down
Tyk2_Ifit2,Tyk2,Ifit2,down
Polr1f_Cd69,Polr1f,Cd69,up
Mbtps2_Cfp,Mbtps2,Cfp,down
Smc3_St3gal5,Smc3,St3gal5,down
Hspa4_Mylip,Hspa4,Mylip,up
Taf5l_Timp2,Taf5l,Timp2,none
Tyk2_Nabp1,Tyk2,Nabp1,none
Rbm15_Slc12a9,Rbm15,Slc12a9,down
Kars_1110038B12Rik,Kars,1110038B12Rik,none
Dync1i2_Fmr1,Dync1i2,Fmr1,up
Cct2_Ifitm6,Cct2,Ifitm6,none
Med29_Adssl1,Med29,Adssl1,none
Il10rb_Saa3,Il10rb,Saa3,down
Ippk_Efr3b,Ippk,Efr3b,none
Dusp1_Npy,Dusp1,Npy,up
Tpr_Tram1,Tpr,Tram1,none
Pfn1_Hp,Pfn1,Hp,down
Sptssa_Ms4a6b,Sptssa,Ms4a6b,none
Syvn1_Calr,Syvn1,Calr,up
